Wall time,Step,Value
1579280398.8007915,1,14.794482231140137
1579283267.807228,2,14.814186096191406
1579286140.9778094,3,12.865620613098145
1579289017.5784786,4,9.225401878356934
1579291876.5419333,5,7.427036762237549
1579294713.6776867,6,7.0467352867126465
1579297545.464624,7,7.090968608856201
1579300343.5025804,8,6.175205707550049
1579303140.8929694,9,5.787331581115723
1579305928.0185108,10,5.535763740539551
1579308712.7773502,11,4.948399066925049
1579311492.5297852,12,4.982028484344482
1579314259.9014506,13,4.687333106994629
1579317026.4582834,14,4.69970178604126
1579319795.9473128,15,4.521590709686279
1579322566.830033,16,4.750927448272705
1579325335.7295535,17,4.5017266273498535
1579328102.0048697,18,4.5720601081848145
1579330869.7529032,19,4.354794025421143
1579333638.8580022,20,4.660567760467529
1579336405.2144225,21,4.183363914489746
1579339173.0523257,22,4.2879838943481445
1579341939.606485,23,4.134670734405518
1579344710.360079,24,4.082570552825928
1579347479.6661046,25,4.078623294830322
1579350247.604403,26,4.042540550231934
1579353008.8289242,27,4.293852806091309
1579355772.598944,28,4.10637092590332
1579358534.4011405,29,4.19305944442749
1579361296.0997725,30,4.057195663452148
