Wall time,Step,Value
1579280398.800718,1,0.28620749711990356
1579283267.8071725,2,0.28189992904663086
1579286140.9777598,3,0.5529046654701233
1579289017.5784276,4,0.8018800616264343
1579291876.5418823,5,0.8767131567001343
1579294713.677646,6,0.8897833228111267
1579297545.4645517,7,0.888308048248291
1579300343.5025277,8,0.9165419936180115
1579303140.8929188,9,0.9270985126495361
1579305928.018462,10,0.9335201978683472
1579308712.7773085,11,0.9472538828849792
1579311492.529733,12,0.9465141892433167
1579314259.9013996,13,0.9528071880340576
1579317026.4582329,14,0.9525516033172607
1579319795.9472566,15,0.9561609029769897
1579322566.8299832,16,0.9514850974082947
1579325335.7295022,17,0.9565539956092834
1579328102.004819,18,0.9551537036895752
1579330869.7528498,19,0.9594029188156128
1579333638.85795,20,0.9533577561378479
1579336405.214371,21,0.9625972509384155
1579339173.0522764,22,0.9606643319129944
1579341939.6064346,23,0.9634792804718018
1579344710.3600297,24,0.9644107818603516
1579347479.6660535,25,0.9644808173179626
1579350247.6043437,26,0.9651178121566772
1579353008.8288646,27,0.9605543613433838
1579355772.5988798,28,0.9639868140220642
1579358534.4010904,29,0.9624202847480774
1579361296.099714,30,0.9648598432540894
