Wall time,Step,Value
1579280479.1987002,1,10.612606048583984
1579283414.1291528,2,9.955269813537598
1579286339.6901171,3,8.927249908447266
1579289257.913541,4,7.839137077331543
1579292165.638972,5,7.427523136138916
1579295049.2356434,6,7.792703628540039
1579297922.2015257,7,5.832815647125244
1579300775.6633554,8,5.5221123695373535
1579303632.5914295,9,5.352595329284668
1579306480.7243893,10,4.650380611419678
1579309334.5395164,11,4.298941612243652
1579312190.863269,12,4.006575107574463
1579315045.9117923,13,3.835752248764038
1579317901.129439,14,4.0845465660095215
1579320753.6986785,15,4.218132972717285
1579323606.7693949,16,4.0884552001953125
1579326457.1693203,17,3.963919162750244
1579329311.6697733,18,3.7271411418914795
1579332203.8496032,19,3.621324062347412
1579335055.9029183,20,3.8282523155212402
1579337910.8799446,21,3.6681036949157715
1579340763.7292848,22,3.6218514442443848
1579343616.746899,23,4.038256645202637
1579346469.6694531,24,3.5538594722747803
1579349322.3304741,25,3.601491928100586
1579352169.401205,26,3.499443769454956
1579355018.7194147,27,3.60591983795166
1579357867.1144881,28,3.322603464126587
1579360714.7118974,29,3.468510150909424
1579363565.273039,30,3.3253324031829834
